"x","y","z","video_frame"
-1.639631,0.224529,-0.305502,1789.5
-1.926211,-0.005969,-0.391145,1792.
-1.8729069,-0.424345,-0.462274,1794.5
-1.6093891,-0.773984,-0.471878,1797.
-1.5413871,-0.808495,-0.315996,1799.5
-1.478152,-0.635821,-0.232205,1802.
-1.2928619,-0.632017,-0.24554,1804.5
-1.187259,-0.551418,-0.536992,1807.
-1.0673,-0.175811,-0.557027,1809.5
-0.943215,-0.152273,-0.932128,1812.
-0.33977902,-0.037468,-0.882425,1814.5
0.46551603,0.034218,-0.718304,1817.
0.79904705,-0.145852,0.041513,1819.5
1.5194161,-0.096574,0.483591,1822.
2.933919,1.295539,0.656688,1824.5
3.131253,2.190293,0.640096,1827.
1.30024,1.414214,0.184279,1829.5
0.49358898,0.756308,0.307895,1832.
0.982305,0.412408,0.099881,1834.5
1.2100711,0.133884,0.220244,1837.
0.633141,0.054034,0.277961,1839.5
0.43209797,0.040837,0.485918,1842.
0.89325696,0.238695,0.518429,1844.5
1.383039,0.303388,0.616395,1847.
1.4181261,0.244649,0.603038,1849.5
1.0530651,0.154465,0.540564,1852.
0.66335505,0.151185,0.443628,1854.5
0.49285203,0.24247,0.319762,1857.
0.33789998,0.433341,0.253022,1859.5
-0.08197099,0.557295,0.214339,1862.
-0.554031,0.441035,0.082742,1864.5
-0.907862,0.348256,-0.028029,1867.
-1.097007,0.141772,-0.19278,1869.5
-1.045844,-0.032116,-0.422892,1872.
-0.968162,-0.314212,-0.572184,1874.5
-1.0406309,-0.515453,-0.696442,1877.
-1.321274,-0.402617,-0.472938,1879.5
-1.7418959,-0.388942,-0.361524,1882.
-2.070967,-0.350644,-0.313426,1884.5
-1.935194,-0.05891,-0.363129,1887.
-1.59006,0.391439,-0.166834,1889.5
-1.310706,0.486698,0.037128,1892.
-1.060465,0.338482,0.045031,1894.5
-0.861681,0.219825,-0.013857,1897.
-0.77871096,0.419913,-0.308872,1899.5
-0.854595,0.181508,-0.820395,1902.
-1.057038,0.024084,-1.076272,1904.5
-0.414791,0.019659,-1.169633,1907.
0.422386,0.095631,-0.663531,1909.5
0.93948704,0.797763,0.358834,1912.
1.316623,0.207409,0.638049,1914.5
2.123423,-1.642962,0.282816,1917.
2.3921092,-2.408934,0.315939,1919.5
2.179415,-1.440678,0.503592,1922.
1.3521051,-0.629067,0.260658,1924.5
0.99261206,-0.171543,0.30314,1927.
1.0760372,-0.050907,0.373363,1929.5
1.073142,-0.217879,0.503825,1932.
1.2145901,-0.381153,0.671862,1934.5
1.495733,-0.443908,0.753708,1937.
1.452343,-0.456224,0.69466,1939.5
1.080024,-0.3657,0.655513,1942.
0.732822,-0.202598,0.482187,1944.5
0.586752,-0.141921,0.374588,1947.
0.48389596,-0.05285,0.196777,1949.5
0.31559497,-0.073135,0.105284,1952.
0.039979994,-0.114199,0.029413,1954.5
-0.332231,-0.010356,0.005342,1957.
-0.572555,0.247913,-0.044393,1959.5
-0.776894,0.404666,-0.175827,1962.
-1.003709,0.479897,-0.205909,1964.5
-1.197928,0.455447,-0.253015,1967.
-1.328352,0.3177,-0.289214,1969.5
-1.465537,0.063345,-0.326135,1972.
-1.8026121,-0.072151,-0.365593,1974.5
-2.072525,-0.33211,-0.402884,1977.
-1.897443,-0.739357,-0.4582,1979.5
-1.57205,-0.920344,-0.390856,1982.
-1.464959,-0.615329,-0.152313,1984.5
-1.282506,-0.300205,-0.11961,1987.
-1.169211,-0.417157,-0.155548,1989.5
-1.145472,-0.281916,-0.424032,1992.
-1.1090829,-0.038794,-0.466537,1994.5
-0.719695,0.02867,-0.626531,1997.
0.14030999,0.125241,-0.977186,1999.5
0.838299,0.392901,-0.921534,2002.
1.2687571,-0.3249,0.202169,2004.5
2.538026,-0.036182,0.584097,2007.
3.279785,1.685925,0.527345,2009.5
1.793627,2.156917,0.373667,2012.
0.419033,1.298593,0.215813,2014.5
0.614587,0.868734,0.189435,2017.
1.272222,0.522537,0.180824,2019.5
1.0371821,0.169889,0.319349,2022.
0.52951306,0.073451,0.319958,2024.5
0.56737596,0.141053,0.478126,2027.
1.037188,0.233341,0.52566,2029.5
1.3289092,0.107613,0.529388,2032.
1.1691561,-0.061143,0.529222,2034.5
0.785986,-0.098295,0.471445,2037.
0.563708,-0.016495,0.413329,2039.5
0.45999497,0.115374,0.275341,2042.
0.21104306,0.37288,0.206029,2044.5
-0.251226,0.511084,0.187184,2047.
-0.68459797,0.334864,0.022931,2049.5
-0.983029,0.242693,-0.090216,2052.
-1.060728,0.079787,-0.314349,2054.5
-0.992951,-0.109381,-0.46381,2057.
-1.001316,-0.437814,-0.512757,2059.5
-1.130592,-0.474655,-0.650284,2062.
-1.436223,-0.366967,-0.388062,2064.5
-1.8755131,-0.307596,-0.300766,2067.
-2.126543,-0.218879,-0.505302,2069.5
-1.9211769,0.241497,-0.303854,2072.
-1.5648661,0.506021,-0.180986,2074.5
-1.2687941,0.405716,-0.013568,2077.
-1.053782,0.201423,-0.079989,2079.5
-0.917686,0.360414,-0.138019,2082.
-0.798625,0.352288,-0.566121,2084.5
-1.094904,0.0053,-1.055482,2087.
-0.7396,-0.024224,-1.122936,2089.5
0.19751102,0.218475,-1.049815,2092.
0.928433,0.531467,0.08501,2094.5
1.453774,0.700644,0.816251,2097.
2.665899,-1.303946,0.582041,2099.5
2.829077,-2.64849,0.384872,2102.
2.122685,-1.744888,0.37644,2104.5
1.1688972,-0.669473,0.269515,2107.
0.85335,-0.199711,0.23434,2109.5
0.88672405,0.098961,0.341933,2112.
0.93281096,-0.068999,0.425897,2114.5
1.087853,-0.283832,0.645359,2117.
1.4626381,-0.570684,0.782239,2119.5
1.6152811,-0.725598,0.741837,2122.
1.202517,-0.616107,0.659445,2124.5
0.69795007,-0.395091,0.522303,2127.
0.47731,-0.201096,0.428594,2129.5
0.42372698,-0.073867,0.239546,2132.
0.29797,-0.036777,0.130971,2134.5
0.041673005,-0.058639,0.093631,2137.
-0.274216,-0.013851,0.026459,2139.5
-0.564854,0.219072,-0.024377,2142.
-0.769263,0.47284,-0.093235,2144.5
-0.92320096,0.552082,-0.128586,2147.
-1.038192,0.483022,-0.213994,2149.5
-1.115286,0.313037,-0.285325,2152.
-1.300733,0.053018,-0.317412,2154.5
-1.7183781,-0.03027,-0.308551,2157.
-2.035935,-0.289364,-0.415064,2159.5
-1.851227,-0.639334,-0.41669,2162.
-1.6276059,-0.86552,-0.392523,2164.5
-1.522877,-0.579484,-0.193015,2167.
-1.3371379,-0.376906,-0.164442,2169.5
-1.223413,-0.451947,-0.186769,2172.
-1.2366099,-0.159646,-0.451992,2174.5
-1.206439,-0.016909,-0.733893,2177.
-0.840591,-0.046488,-0.957748,2179.5
0.09136802,0.11979,-1.003768,2182.
0.744111,0.217608,-0.768882,2184.5
1.2823281,-0.505865,0.267416,2187.
2.8666952,0.105138,0.632394,2189.5
3.56091,1.937922,0.67258,2192.
1.599843,2.297924,0.32708,2194.5
0.31571203,1.168515,0.201426,2197.
0.795782,0.747858,0.253311,2199.5
1.4420171,0.32881,0.022903,2202.
0.95306903,0.163815,0.278102,2204.5
0.518907,-0.064228,0.301861,2207.
0.749852,0.010649,0.442409,2209.5
1.202214,0.172439,0.534305,2212.
1.3413901,0.101961,0.613496,2214.5
1.109235,-0.034772,0.537407,2217.
0.820177,0.013721,0.517564,2219.5
0.58469695,0.127684,0.394397,2222.
0.381877,0.316444,0.316179,2224.5
0.10006899,0.516673,0.193612,2227.
-0.35419798,0.560216,0.213193,2229.5
-0.705477,0.432477,0.024837,2232.
-0.964629,0.254347,-0.105248,2234.5
-1.085247,0.006144,-0.349332,2237.
-1.033291,-0.30226,-0.443354,2239.5
-1.087859,-0.657386,-0.593138,2242.
-1.27421,-0.594179,-0.536189,2244.5
-1.575935,-0.479947,-0.301722,2247.
-1.936913,-0.410425,-0.306813,2249.5
-1.917928,-0.036783,-0.407572,2252.
-1.755012,0.457456,-0.270963,2254.5
-1.5491669,0.637668,-0.087404,2257.
-1.2191939,0.504941,-0.029399,2259.5
-0.961396,0.310498,-0.067394,2262.
-0.847291,0.46318,-0.094981,2264.5
-0.850782,0.349198,-0.554919,2267.
-1.104622,-0.108399,-0.795264,2269.5
-0.587554,-0.07851,-1.073445,2272.
0.43407398,-0.155416,-1.077649,2274.5
0.969312,0.09633,-0.278786,2277.
0.90555805,0.981753,0.476322,2279.5
1.549375,-0.388835,0.447164,2282.
2.337709,-1.687942,0.373492,2284.5
2.678024,-1.769596,0.46918,2287.
1.7636001,-0.928972,0.405091,2289.5
1.1102362,-0.582248,0.209848,2292.
0.90021604,-0.324343,0.230744,2294.5
0.784267,-0.265734,0.288462,2297.
0.86575395,-0.342878,0.543712,2299.5
1.398387,-0.522115,0.653585,2302.
1.660181,-0.560303,0.70066,2304.5
1.25495,-0.447856,0.580892,2307.
0.849415,-0.240906,0.485366,2309.5
0.66150504,-0.086688,0.409225,2312.
0.58993,-0.077778,0.279757,2314.5
0.39404303,-0.096173,0.203782,2317.
0.06060499,-0.199755,0.163384,2319.5
-0.30574298,-0.2441,0.125931,2322.
-0.56599796,-0.165733,0.083718,2324.5
-0.798739,0.069789,0.021804,2327.
-1.012023,0.333182,-0.049623,2329.5
-1.105674,0.512174,-0.153474,2332.
-1.193295,0.604002,-0.249182,2334.5
-1.334774,0.443201,-0.32991,2337.
-1.630677,0.319118,-0.288933,2339.5
-1.917773,0.055544,-0.382908,2342.
-1.780824,-0.395677,-0.418536,2344.5
-1.576085,-0.740568,-0.379118,2347.
-1.46981,-0.780202,-0.24093,2349.5
-1.300472,-0.534688,-0.133781,2352.
-1.173855,-0.518808,-0.409007,2354.5
-1.023559,-0.156625,-0.651199,2357.
-0.894391,-0.068456,-0.945509,2359.5
-0.705384,-0.194933,-1.168992,2362.
0.067846954,-0.109595,-0.899356,2364.5
0.676891,-0.361175,-0.115186,2367.
1.4164801,-0.357167,0.494954,2369.5
2.746052,1.126669,0.637786,2372.
3.3785632,2.476571,0.727241,2374.5
1.7227201,1.904837,0.177589,2377.
0.413534,0.841865,0.244121,2379.5
0.784782,0.404133,0.13855,2382.
1.2265751,0.063721,0.097234,2384.5
0.69628996,0.033906,0.269508,2387.
0.36779696,-0.014917,0.422336,2389.5
0.82029206,0.212347,0.48054,2392.
1.401391,0.334768,0.561979,2394.5
1.419805,0.248784,0.622572,2397.
1.050885,0.118656,0.535491,2399.5
0.68813306,0.088149,0.4053,2402.
0.49299902,0.043377,0.358192,2404.5
0.30837005,0.158815,0.242938,2407.
-0.05165398,0.398572,0.221591,2409.5
-0.497646,0.312956,0.117883,2412.
-0.81231,0.308847,0.041085,2414.5
-0.988854,0.222162,-0.152595,2417.
-1.010812,0.127393,-0.370286,2419.5
-1.028499,-0.166404,-0.501351,2422.
-1.094568,-0.366992,-0.546158,2424.5
-1.2752581,-0.307576,-0.41139,2427.
-1.578272,-0.235137,-0.20186,2429.5
-1.9967201,-0.199606,-0.243357,2432.
-1.883147,-0.09279,-0.413694,2434.5
-1.62806,0.327159,-0.24387,2437.
-1.384774,0.458891,-0.055915,2439.5
-1.134913,0.361228,0.043111,2442.
-0.94453096,0.215037,-0.022665,2444.5
-0.795555,0.256745,-0.303156,2447.
-0.887251,0.337713,-0.948477,2449.5
-0.970841,0.021289,-1.30316,2452.
-0.43113297,0.014444,-1.185689,2454.5
0.22366899,0.514405,-0.414634,2457.
0.77805203,0.864344,0.586461,2459.5
1.321367,-0.068618,0.595142,2462.
2.30849,-1.811219,0.267156,2464.5
2.538341,-2.445883,0.239757,2467.
2.034913,-1.332224,0.310611,2469.5
1.2216492,-0.429145,0.218921,2472.
0.98920506,-0.126422,0.21738,2474.5
1.0213242,-0.089833,0.285099,2477.
0.97360104,-0.308116,0.470295,2479.5
1.193124,-0.491287,0.610264,2482.
1.5237,-0.586709,0.716465,2484.5
1.4781661,-0.598403,0.65476,2487.
1.110177,-0.472654,0.628057,2489.5
0.75834197,-0.290706,0.452313,2492.
0.61590904,-0.183597,0.418508,2494.5
0.55245703,-0.152941,0.245245,2497.
0.31196398,-0.188088,0.142963,2499.5
-0.029833019,-0.161525,0.072415,2502.
-0.364128,-0.027385,0.030813,2504.5
-0.620204,0.251905,-0.057827,2507.
-0.890375,0.490481,-0.152005,2509.5
-1.075197,0.599082,-0.172621,2512.
-1.201148,0.609681,-0.199814,2514.5
-1.228636,0.442461,-0.247994,2517.
-1.350034,0.090658,-0.238525,2519.5
-1.703259,-0.039887,-0.214554,2522.
-1.97714,-0.260773,-0.35777,2524.5
-1.763092,-0.599529,-0.395854,2527.
-1.5450721,-0.761223,-0.313358,2529.5
-1.452342,-0.619695,-0.091703,2532.
-1.2899001,-0.402421,-0.058148,2534.5
-1.17659,-0.376015,-0.290788,2537.
-1.06955,-0.090891,-0.467121,2539.5
-1.055316,-0.08064,-0.854747,2542.
-0.605425,-0.175956,-1.187737,2544.5
0.348522,0.069293,-1.129284,2547.
0.952393,-0.528755,-0.250036,2549.5
1.976552,-0.523573,0.473661,2552.
3.5354922,1.412538,0.746792,2554.5
3.325153,2.872245,0.647079,2557.
0.609718,1.881666,0.034316,2559.5
0.021321952,0.923869,0.191705,2562.
0.99915606,0.491366,0.013347,2564.5
1.3595691,-0.00054,0.130103,2567.
0.713355,-0.027646,0.3057,2569.5
0.516079,0.00111,0.3597,2572.
0.89627105,0.15977,0.502959,2574.5
1.285604,0.178527,0.519247,2577.
1.201026,0.089995,0.559852,2579.5
0.84413105,-0.092175,0.471487,2582.
0.47491604,-0.058315,0.419449,2584.5
0.31940097,0.037879,0.311112,2587.
0.19607204,0.184334,0.206495,2589.5
-0.113349974,0.386148,0.184778,2592.
-0.45831597,0.392477,0.075396,2594.5
-0.720468,0.307537,-0.08962,2597.
-0.911471,0.272273,-0.254691,2599.5
-0.973324,0.049048,-0.37267,2602.
-0.94153297,-0.308571,-0.402132,2604.5
-1.053893,-0.405502,-0.503251,2607.
-1.279264,-0.183592,-0.254553,2609.5
-1.6879361,-0.157748,-0.213284,2612.
-2.066123,-0.130444,-0.304979,2614.5
-1.885447,0.112415,-0.378293,2617.
-1.6153691,0.368188,-0.25301,2619.5
-1.429991,0.335066,-0.053257,2622.
-1.166781,0.160835,-0.066997,2624.5
-1.000214,0.097228,-0.068775,2627.
-0.952776,0.278308,-0.32194,2629.5
-0.912636,0.148284,-0.694439,2632.
-1.031876,-0.055003,-1.07584,2634.5
-0.307445,-0.158988,-1.498205,2637.
0.41004795,-0.023999,-0.893679,2639.5
0.857089,1.205157,0.246607,2642.
1.5612252,0.721723,0.838122,2644.5
2.547589,-1.493796,0.536216,2647.
2.688921,-2.569337,0.388364,2649.5
1.951071,-1.569976,0.451294,2652.
1.0992231,-0.786401,0.193127,2654.5
0.87165695,-0.117039,0.238982,2657.
1.025774,-0.019885,0.268824,2659.5
1.070504,-0.13305,0.52237,2662.
1.3041382,-0.468579,0.664681,2664.5
1.5615411,-0.596748,0.759301,2667.
1.4233141,-0.544407,0.668281,2669.5
1.032217,-0.372964,0.609982,2672.
0.76160604,-0.153591,0.469133,2674.5
0.617063,-0.099679,0.363116,2677.
0.49975497,-0.095477,0.160144,2679.5
0.21262795,-0.178789,0.14936,2682.
-0.166192,-0.209569,0.163482,2684.5
-0.46714097,-0.204971,0.063792,2687.
-0.723206,0.007575,0.032973,2689.5
-0.953937,0.30986,-0.064251,2692.
-1.0748119,0.481846,-0.105133,2694.5
-1.158065,0.628702,-0.187428,2697.
-1.272706,0.570935,-0.174955,2699.5
-1.5312879,0.40129,-0.254744,2702.
-1.8856931,0.232451,-0.277368,2704.5
-1.8528819,-0.217536,-0.404867,2707.
-1.599613,-0.672512,-0.392624,2709.5
-1.5194371,-0.914352,-0.253417,2712.
-1.46196,-0.816855,-0.127722,2714.5
-1.303385,-0.621555,-0.133024,2717.
-1.187025,-0.436246,-0.342721,2719.5
-0.98085,-0.063157,-0.554554,2722.
-0.780492,0.02648,-1.074718,2724.5
-0.571177,-0.082062,-1.394646,2727.
0.13149506,-0.095466,-0.997647,2729.5
0.759227,-0.468872,-0.206225,2732.
1.6430581,-0.435984,0.567326,2734.5
2.867624,1.353116,0.658742,2737.
3.0807512,2.806696,0.676806,2739.5
1.2489791,1.826823,0.225781,2742.
0.42816895,0.952473,0.216425,2744.5
1.0052819,0.398222,0.161276,2747.
1.3531342,-0.099985,0.073104,2749.5
0.746272,-0.074649,0.304692,2752.
0.35697705,-0.099135,0.367434,2754.5
0.69518596,0.134848,0.52571,2757.
1.2185731,0.204753,0.516038,2759.5
1.36869,0.151483,0.611653,2762.
1.0981951,0.05145,0.560565,2764.5
0.64492303,0.113339,0.515237,2767.
0.419007,0.15706,0.358002,2769.5
0.26697403,0.282914,0.242625,2772.
-0.080634,0.468105,0.176666,2774.5
-0.499564,0.437325,0.126569,2777.
-0.823693,0.318999,-0.005123,2779.5
-1.006154,0.175878,-0.165442,2782.
-0.994547,0.02602,-0.421396,2784.5
-0.96739,-0.313478,-0.545175,2787.
-1.100827,-0.49053,-0.653558,2789.5
-1.332031,-0.349429,-0.48791,2792.
-1.743206,-0.275941,-0.248241,2794.5
-2.137312,-0.246815,-0.36467,2797.
-1.9160869,-0.037713,-0.380426,2799.5
-1.6573219,0.330469,-0.194431,2802.
-1.341857,0.382227,-0.029218,2804.5
-1.01847,0.282022,0.004784,2807.
-0.85385597,0.3863,0.01414,2809.5
-0.774489,0.460366,-0.407688,2812.
-1.091006,0.14229,-0.748083,2814.5
-0.999172,0.045777,-0.990074,2817.
-0.002440989,-0.022227,-1.343654,2819.5
0.646336,-0.001196,-0.350951,2822.
0.974942,1.05807,0.45539,2824.5
1.916198,-0.212296,0.574143,2827.
2.8380902,-1.780373,0.446221,2829.5
2.702263,-2.140828,0.334317,2832.
1.5661092,-0.956557,0.349886,2834.5
0.92908496,-0.54066,0.131445,2837.
0.796506,-0.083567,0.206512,2839.5
0.846924,-0.059257,0.261575,2842.
0.90956205,-0.220156,0.532645,2844.5
1.316998,-0.538667,0.694461,2847.
1.6787641,-0.673177,0.728105,2849.5
1.4353111,-0.62592,0.679304,2852.
0.937396,-0.364142,0.53173,2854.5
0.61374,-0.194863,0.457891,2857.
0.54676706,-0.100955,0.329613,2859.5
0.44340104,-0.094551,0.1763,2862.
0.13663906,-0.171995,0.116079,2864.5
-0.22558999,-0.210475,0.087601,2867.
-0.536002,-0.078944,0.021187,2869.5
-0.779161,0.206645,0.011426,2872.
-0.969913,0.410216,-0.112522,2874.5
-1.123197,0.52852,-0.125037,2877.
-1.216098,0.541179,-0.19178,2879.5
-1.307847,0.437543,-0.199893,2882.
-1.487893,0.122327,-0.257059,2884.5
-1.8237369,-0.012147,-0.235557,2887.
-1.88956,-0.32663,-0.346157,2889.5
-1.5680981,-0.668848,-0.344528,2892.
-1.424498,-0.756131,-0.188892,2894.5
-1.323858,-0.567313,-0.055405,2897.
-1.175512,-0.383946,-0.062674,2899.5
-1.087777,-0.375258,-0.26714,2902.
-0.983429,0.008176,-0.419599,2904.5
-0.897509,-0.003864,-0.794851,2907.
-0.50342596,-0.116745,-1.290176,2909.5
0.413575,0.130757,-1.244172,2912.
0.89280695,-0.581745,-0.267264,2914.5
1.725498,-0.847157,0.478999,2917.
3.2110631,1.043952,0.551085,2919.5
3.4254572,2.717693,0.808689,2922.
1.274956,1.991601,0.158426,2924.5
0.20713204,1.118378,0.281236,2927.
0.819792,0.734496,0.134733,2929.5
1.18927,0.213688,0.101602,2932.
0.55024904,0.11312,0.250303,2934.5
0.38321096,0.057039,0.416082,2937.
1.0143571,0.02555,0.420821,2939.5
1.325464,-0.015813,0.48303,2942.
1.181026,-0.161859,0.460971,2944.5
0.761324,-0.153544,0.476617,2947.
0.42175597,-0.156462,0.405112,2949.5
0.27183396,-0.056601,0.267032,2952.
0.06950396,0.279387,0.170352,2954.5
-0.326392,0.534955,0.145726,2957.
-0.678209,0.55661,0.033298,2959.5
-0.907484,0.440381,-0.154076,2962.
-1.073776,0.174508,-0.34923,2964.5
-1.098317,-0.266384,-0.44204,2967.
-1.13196,-0.597648,-0.683792,2969.5
-1.318184,-0.525792,-0.429325,2972.
-1.6724141,-0.548291,-0.271313,2974.5
-2.017208,-0.381271,-0.425609,2977.
-1.741979,0.017837,-0.403411,2979.5
-1.647536,0.485452,-0.208707,2982.
-1.420107,0.592306,-0.022912,2984.5
-1.170921,0.410556,-0.016486,2987.
-1.054868,0.504058,0.032888,2989.5
-0.959292,0.558833,-0.31895,2992.
-0.99696,0.09669,-0.557344,2994.5
-1.14261,-0.007425,-0.833462,2997.
-0.18700498,-0.123562,-1.368822,2999.5
0.71410805,-0.446103,-0.858096,3002.
1.004802,0.619174,-0.047267,3004.5
1.3392911,0.695134,0.699113,3007.
2.402286,-1.10445,0.424098,3009.5
2.847539,-1.886515,0.477517,3012.
2.365585,-1.184954,0.668917,3014.5
1.2111971,-0.756081,0.123103,3017.
0.68530005,-0.211231,0.230459,3019.5
0.67556304,-0.114977,0.217293,3022.
0.80044705,-0.138284,0.404971,3024.5
1.136208,-0.394292,0.633559,3027.
1.6027911,-0.661827,0.745658,3029.5
1.610213,-0.617605,0.642875,3032.
1.079263,-0.407517,0.53182,3034.5
0.633177,-0.23202,0.445203,3037.
0.50176495,-0.106011,0.332049,3039.5
0.432311,-0.104002,0.183709,3042.
0.26482195,-0.138796,0.138484,3044.5
-0.073247015,-0.186777,0.108282,3047.
-0.379219,-0.146938,-0.019758,3049.5
-0.600327,0.089409,-0.00831,3052.
-0.829978,0.316979,-0.103652,3054.5
-0.980694,0.432808,-0.10289,3057.
-1.125587,0.428205,-0.128118,3059.5
-1.262308,0.210598,-0.155648,3062.
-1.524099,0.009369,-0.195059,3064.5
-1.902513,-0.104253,-0.245358,3067.
-1.890003,-0.471587,-0.411956,3069.5
-1.651166,-0.770423,-0.416546,3072.
-1.588593,-0.850649,-0.264985,3074.5
-1.456459,-0.543391,-0.123806,3077.
-1.304947,-0.332138,-0.144535,3079.5
-1.235853,-0.274558,-0.18485,3082.
-1.112208,0.054958,-0.429517,3084.5
-1.039128,0.06326,-0.821348,3087.
-0.568691,0.022621,-0.962141,3089.5
0.40684098,0.2072,-1.120731,3092.
0.920886,0.028813,-0.338679,3094.5
1.569227,-0.545615,0.35404,3097.
2.615299,0.859545,0.527587,3099.5
2.6120632,2.062099,0.517906,3102.
1.2948751,1.660752,0.271464,3104.5
0.69241506,0.889758,0.207956,3107.
1.01479,0.701803,0.182444,3109.5
1.3225441,0.354388,0.249146,3112.
0.868784,0.297103,0.340067,3114.5
0.58775395,0.241287,0.405703,3117.
0.92182904,0.370124,0.57746,3119.5
1.359658,0.263102,0.621928,3122.
1.4071281,0.110173,0.590315,3124.5
1.085361,0.040464,0.568595,3127.
0.75477606,0.054729,0.427933,3129.5
0.51412004,0.111795,0.337624,3132.
0.35483795,0.281684,0.17426,3134.5
-0.06040001,0.474105,0.178527,3137.
-0.551286,0.387173,0.117121,3139.5
-0.894323,0.317161,0.046849,3142.
-1.0541999,0.166176,-0.116053,3144.5
-1.039235,0.034781,-0.403799,3147.
-1.014641,-0.27536,-0.540627,3149.5
-1.174872,-0.479201,-0.617981,3152.
-1.416734,-0.471165,-0.380876,3154.5
-1.8109629,-0.449425,-0.317559,3157.
-2.047091,-0.390131,-0.428611,3159.5
-1.86165,0.052831,-0.345501,3162.
-1.611647,0.448361,-0.146173,3164.5
-1.364417,0.535943,0.061785,3167.
-1.112156,0.313535,0.039997,3169.5
-0.91482997,0.255794,0.059599,3172.
-0.799632,0.378505,-0.241921,3174.5
-1.006906,0.089463,-0.645816,3177.
-0.93638897,-0.067899,-0.743158,3179.5
-0.08770102,-0.08285,-1.230821,3182.
0.61923105,-0.335833,-0.99337,3184.5
0.863113,0.469599,-0.128766,3187.
1.1917281,0.529194,0.619129,3189.5
2.06355,-1.140627,0.407089,3192.
2.481226,-1.977528,0.409578,3194.5
2.2508302,-1.391356,0.550239,3197.
1.2920461,-0.971578,0.190536,3199.5
0.91287,-0.467165,0.365597,3202.
0.91567606,-0.274784,0.358883,3204.5
0.964948,-0.232839,0.487217,3207.
1.1552,-0.39473,0.662374,3209.5
1.370192,-0.46954,0.716158,3212.
1.3138361,-0.391462,0.661756,3214.5
0.97320205,-0.22944,0.564267,3217.
0.73192996,-0.060078,0.431995,3219.5
0.60593206,0.017577,0.324717,3222.
0.45892996,0.002192,0.151974,3224.5
0.22309905,-0.066033,0.106457,3227.
-0.09103,-0.120794,0.049073,3229.5
-0.40602797,-0.034419,-0.017141,3232.
-0.623522,0.152138,-0.048435,3234.5
-0.786092,0.273389,-0.133373,3237.
-0.927785,0.34245,-0.130822,3239.5
-1.070227,0.318237,-0.176996,3242.
-1.218221,0.111391,-0.17398,3244.5
-1.526629,-0.054519,-0.195269,3247.
-1.974102,-0.097171,-0.265677,3249.5
-2.02805,-0.278114,-0.394115,3252.
-1.6938579,-0.581978,-0.400063,3254.5
-1.549667,-0.620919,-0.252952,3257.
-1.381415,-0.403599,-0.089652,3259.5
-1.248669,-0.268845,-0.104416,3262.
-1.135969,-0.362443,-0.52235,3264.5
