x,y,z,interval,sample,frame
0.27008,0.25294,1.13127,1,9.2,9.200000000000003
0.23107,0.16114,0.85051,1,9.3,9.299999999999997
0.18678,0.06461,0.58849,1,9.4,9.399999999999999
0.14083,-0.03573,0.35136,1,9.5,9.5
0.09689,-0.13895,0.14526,1,9.6,9.600000000000001
0.05858,-0.24412,-0.02369,1,9.7,9.700000000000003
0.02956,-0.35033,-0.14935,1,9.8,9.799999999999997
0.01347,-0.45665,-0.22559,1,9.9,9.899999999999999
0.01395,-0.56215,-0.24627,1,10.0,10.0
0.0334,-0.66586,-0.20799,1,10.1,10.100000000000001
0.06925,-0.76659,-0.11827,1,10.2,10.200000000000003
0.11769,-0.86307,0.01261,1,10.3,10.299999999999997
0.17492,-0.95407,0.17441,1,10.4,10.399999999999999
0.23712,-1.03832,0.35686,1,10.5,10.5
0.30049,-1.11459,0.5497,1,10.6,10.600000000000001
0.36121,-1.18162,0.74266,1,10.7,10.700000000000003
0.41547,-1.23816,0.92549,1,10.8,10.799999999999997
0.45947,-1.28295,1.08793,1,10.9,10.899999999999999
0.48939,-1.31476,1.21972,1,11.0,11.0
0.50245,-1.33283,1.313,1,11.1,11.100000000000001
0.49988,-1.33838,1.36958,1,11.2,11.200000000000003
0.48397,-1.33315,1.39367,1,11.3,11.299999999999997
0.45698,-1.31886,1.38948,1,11.4,11.399999999999999
0.42119,-1.29724,1.36123,1,11.5,11.5
0.37885,-1.27003,1.31312,1,11.6,11.600000000000001
0.33224,-1.23894,1.24936,1,11.7,11.700000000000003
0.28363,-1.20571,1.17418,1,11.8,11.799999999999997
0.23529,-1.17207,1.09177,1,11.9,11.899999999999999
0.18949,-1.13973,1.00636,1,12.0,12.0
0.14807,-1.11006,0.92173,1,12.1,12.100000000000001
0.1112,-1.08286,0.83996,1,12.2,12.200000000000003
0.07861,-1.05757,0.7627,1,12.3,12.299999999999997
0.05004,-1.03363,0.6916,1,12.4,12.399999999999999
0.02524,-1.01047,0.62833,1,12.5,12.5
0.00394,-0.98752,0.57452,1,12.6,12.600000000000001
-0.01413,-0.96422,0.53184,1,12.7,12.700000000000003
-0.02921,-0.94001,0.50194,1,12.8,12.799999999999997
-0.04158,-0.91432,0.48646,1,12.9,12.899999999999999
-0.05148,-0.88659,0.48708,1,13.0,13.0
-0.05912,-0.85638,0.5047,1,13.1,13.100000000000001
-0.06439,-0.82378,0.53737,1,13.2,13.200000000000003
-0.06711,-0.78904,0.58239,1,13.3,13.299999999999997
-0.0671,-0.75238,0.63705,1,13.4,13.399999999999999
-0.0642,-0.71402,0.69867,1,13.5,13.5
-0.05822,-0.67421,0.76454,1,13.6,13.600000000000001
-0.04899,-0.63316,0.83197,1,13.7,13.700000000000003
-0.03633,-0.59111,0.89827,1,13.8,13.799999999999997
-0.02006,-0.54829,0.96073,1,13.9,13.899999999999999
-2e-05,-0.50492,1.01667,1,14.0,14.0
0.02382,-0.46129,1.06396,1,14.1,14.100000000000001
0.05088,-0.41784,1.10287,1,14.2,14.200000000000003
0.08043,-0.37506,1.13422,1,14.3,14.299999999999997
0.11171,-0.33346,1.15884,1,14.4,14.399999999999999
0.144,-0.29353,1.17758,1,14.5,14.5
0.17656,-0.25576,1.19125,1,14.6,14.600000000000001
0.20865,-0.22065,1.20071,1,14.7,14.700000000000003
0.23953,-0.1887,1.20677,1,14.8,14.799999999999997
0.26847,-0.1604,1.21027,1,14.9,14.899999999999999
0.29473,-0.13625,1.21205,1,15.0,15.0
0.31777,-0.11661,1.21284,1,15.1,15.100000000000001
0.33789,-0.10136,1.21293,1,15.2,15.200000000000003
0.35556,-0.09024,1.21253,1,15.3,15.299999999999997
0.37129,-0.083,1.21182,1,15.4,15.399999999999999
0.38556,-0.07939,1.21101,1,15.5,15.5
0.39885,-0.07914,1.21028,1,15.6,15.600000000000001
0.41167,-0.08202,1.20985,1,15.7,15.700000000000003
